#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  7.30e+05  |2696708886|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.25254191|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.98376647|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.33734820|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.56222011|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.16143313|  PASSED  
        diehard_opso|   0|   2097152|     100|0.74805513|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.76750269|  PASSED  
         diehard_dna|   0|   2097152|     100|0.41830619|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.92291474|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.27650253|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.11929168|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.73048067|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.99469781|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.98747175|  PASSED  
        diehard_sums|   0|       100|     100|0.10151572|  PASSED  
        diehard_runs|   0|    100000|     100|0.94600892|  PASSED  
        diehard_runs|   0|    100000|     100|0.45388358|  PASSED  
       diehard_craps|   0|    200000|     100|0.78204213|  PASSED  
       diehard_craps|   0|    200000|     100|0.98549002|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.38842445|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62333769|  PASSED  
         sts_monobit|   1|    100000|     100|0.21666880|  PASSED  
            sts_runs|   2|    100000|     100|0.97294843|  PASSED  
          sts_serial|   1|    100000|     100|0.38815258|  PASSED  
          sts_serial|   2|    100000|     100|0.64025792|  PASSED  
          sts_serial|   3|    100000|     100|0.37237813|  PASSED  
          sts_serial|   3|    100000|     100|0.19114533|  PASSED  
          sts_serial|   4|    100000|     100|0.62195996|  PASSED  
          sts_serial|   4|    100000|     100|0.96963739|  PASSED  
          sts_serial|   5|    100000|     100|0.35505045|  PASSED  
          sts_serial|   5|    100000|     100|0.70642418|  PASSED  
          sts_serial|   6|    100000|     100|0.80713917|  PASSED  
          sts_serial|   6|    100000|     100|0.99450244|  PASSED  
          sts_serial|   7|    100000|     100|0.94856265|  PASSED  
          sts_serial|   7|    100000|     100|0.87658642|  PASSED  
