#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.05e+06  |2126606625|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.88736045|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.44529975|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.99289508|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.58456042|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.21692500|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99545519|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.78013768|  PASSED  
         diehard_dna|   0|   2097152|     100|0.23780491|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.96791419|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.54561533|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.85934971|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.41757872|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.99801386|   WEAK   
     diehard_squeeze|   0|    100000|     100|0.61638914|  PASSED  
        diehard_sums|   0|       100|     100|0.42105489|  PASSED  
        diehard_runs|   0|    100000|     100|0.31894751|  PASSED  
        diehard_runs|   0|    100000|     100|0.67227420|  PASSED  
       diehard_craps|   0|    200000|     100|0.76231542|  PASSED  
       diehard_craps|   0|    200000|     100|0.98459484|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.84482602|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93346559|  PASSED  
         sts_monobit|   1|    100000|     100|0.63372209|  PASSED  
            sts_runs|   2|    100000|     100|0.56731238|  PASSED  
          sts_serial|   1|    100000|     100|0.01762482|  PASSED  
          sts_serial|   2|    100000|     100|0.95399670|  PASSED  
          sts_serial|   3|    100000|     100|0.99476209|  PASSED  
          sts_serial|   3|    100000|     100|0.85327830|  PASSED  
          sts_serial|   4|    100000|     100|0.94298897|  PASSED  
          sts_serial|   4|    100000|     100|0.94123751|  PASSED  
          sts_serial|   5|    100000|     100|0.58742168|  PASSED  
          sts_serial|   5|    100000|     100|0.09782621|  PASSED  
          sts_serial|   6|    100000|     100|0.74748047|  PASSED  
          sts_serial|   6|    100000|     100|0.74403917|  PASSED  
          sts_serial|   7|    100000|     100|0.99174315|  PASSED  
          sts_serial|   7|    100000|     100|0.73087389|  PASSED  
          sts_serial|   8|    100000|     100|0.75285230|  PASSED  
          sts_serial|   8|    100000|     100|0.77999982|  PASSED  
          sts_serial|   9|    100000|     100|0.16799412|  PASSED  
          sts_serial|   9|    100000|     100|0.54561055|  PASSED  
          sts_serial|  10|    100000|     100|0.69440887|  PASSED  
          sts_serial|  10|    100000|     100|0.88802803|  PASSED  
          sts_serial|  11|    100000|     100|0.91099367|  PASSED  
          sts_serial|  11|    100000|     100|0.87078158|  PASSED  
          sts_serial|  12|    100000|     100|0.49010514|  PASSED  
          sts_serial|  12|    100000|     100|0.61594896|  PASSED  
          sts_serial|  13|    100000|     100|0.99434484|  PASSED  
          sts_serial|  13|    100000|     100|0.72336500|  PASSED  
          sts_serial|  14|    100000|     100|0.37721979|  PASSED  
          sts_serial|  14|    100000|     100|0.40432360|  PASSED  
